Date,Open,High,Low,Close,Volume
2023-04-18,279.65,281.11,275.98,276.86,519314.0
2023-04-19,274.69,275.56,272.7,274.32,551396.0
2023-04-20,271.54,274.95,270.96,273.83,526328.0
2023-04-21,275.21,277.02,273.685,275.45,719863.0
2023-04-24,275.01,277.39,275.01,276.08,548756.0
2023-04-25,276.16,279.58,274.54,274.93,712337.0
2023-04-26,272.7,275.61,269.81,270.63,922418.0
2023-04-27,283.81,283.81,270.3,283.62,2082139.0
2023-04-28,285.0,287.485,281.64,283.41,849580.0
2023-05-01,284.02,286.22,280.68,282.65,803210.0
2023-05-02,281.65,282.55,275.5,279.02,755791.0
2023-05-03,279.52,283.58,278.06,278.63,674852.0
2023-05-04,276.9,280.86,275.28,279.2,782220.0
2023-05-05,282.61,283.49,279.11,283.42,451709.0
2023-05-08,284.89,285.81,279.14,281.1,421081.0
2023-05-09,279.72,282.77,277.65,277.76,601985.0
2023-05-10,275.0,278.07,267.72,270.09,1243075.0
2023-05-11,267.55,270.69,266.62,270.49,922649.0
2023-05-12,271.4,272.08,268.42,271.86,861478.0
2023-05-15,272.77,275.665,270.87,274.14,509490.0
2023-05-16,271.42,272.9499,268.87,269.98,504570.0
2023-05-17,272.68,276.05,271.32,274.63,470529.0
2023-05-18,275.54,281.505,273.96,281.11,740004.0
2023-05-19,284.06,284.23,278.21,281.31,686463.0
2023-05-22,281.6,283.77,279.17,282.47,562467.0
2023-05-23,280.04,281.87,277.68,278.46,923062.0
2023-05-24,277.0,277.655,269.33,270.22,577135.0
2023-05-25,272.49,275.49,269.81,273.43,714075.0
2023-05-26,275.14,286.86,274.6677,286.23,905026.0
2023-05-30,287.94,290.64,284.32,286.79,769908.0
2023-05-31,284.37,284.85,276.93,278.6,1472012.0
2023-06-01,278.22,282.87,275.91,280.47,556038.0
2023-06-02,283.88,294.43,280.53,292.84,768529.0
2023-06-05,291.9,292.055,288.34,291.71,574716.0
2023-06-06,291.0,296.07,289.33,291.99,636164.0
2023-06-07,291.16,300.09,290.54,299.1,871995.0
2023-06-08,298.05,303.865,297.3221,302.92,797763.0
2023-06-09,303.91,306.4,301.12,305.5,878572.0
2023-06-12,305.0,309.92,302.79,309.78,738976.0
